age,sex,year,exp
0,Male,2000,76.61930244
1,Male,2000,75.69320985
2,Male,2000,74.73534164
3,Male,2000,73.76430472
4,Male,2000,72.78409143
5,Male,2000,71.79927427
6,Male,2000,70.81425027
7,Male,2000,69.8297228
8,Male,2000,68.8449787
9,Male,2000,67.8600179
10,Male,2000,66.87551427
11,Male,2000,65.89078415
12,Male,2000,64.90844443
13,Male,2000,63.92970624
14,Male,2000,62.95445347
15,Male,2000,61.98382087
16,Male,2000,61.02134889
17,Male,2000,60.06616786
18,Male,2000,59.11803555
19,Male,2000,58.17318834
20,Male,2000,57.22976351
21,Male,2000,56.28655006
22,Male,2000,55.34239245
23,Male,2000,54.39838881
24,Male,2000,53.45396139
25,Male,2000,52.50962149
26,Male,2000,51.5653314
27,Male,2000,50.6225887
28,Male,2000,49.68130082
29,Male,2000,48.73891034
30,Male,2000,47.79444896
31,Male,2000,46.84842617
32,Male,2000,45.90085914
33,Male,2000,44.95222015
34,Male,2000,44.00339906
35,Male,2000,43.05479371
36,Male,2000,42.10634739
37,Male,2000,41.15967177
38,Male,2000,40.21422884
39,Male,2000,39.2714998
40,Male,2000,38.3313
41,Male,2000,37.39382481
42,Male,2000,36.45998318
43,Male,2000,35.53060316
44,Male,2000,34.60608124
45,Male,2000,33.68779006
46,Male,2000,32.77597138
47,Male,2000,31.86984393
48,Male,2000,30.96960257
49,Male,2000,30.07140535
50,Male,2000,29.17586439
51,Male,2000,28.28409258
52,Male,2000,27.39735584
53,Male,2000,26.51812687
54,Male,2000,25.64703174
55,Male,2000,24.78610532
56,Male,2000,23.93688087
57,Male,2000,23.09924367
58,Male,2000,22.27323115
59,Male,2000,21.45479733
60,Male,2000,20.64488989
61,Male,2000,19.84549648
62,Male,2000,19.05947716
63,Male,2000,18.28965038
64,Male,2000,17.53693678
65,Male,2000,16.8005979
66,Male,2000,16.0799704
67,Male,2000,15.37314743
68,Male,2000,14.67807496
69,Male,2000,13.99478603
70,Male,2000,13.32152693
71,Male,2000,12.66067759
72,Male,2000,12.01291618
73,Male,2000,11.38515937
74,Male,2000,10.7755178
75,Male,2000,10.18229977
76,Male,2000,9.60583533
77,Male,2000,9.045701244
78,Male,2000,8.504194845
79,Male,2000,7.984052876
80,Male,2000,7.48776109
81,Male,2000,7.01485287
82,Male,2000,6.567457361
83,Male,2000,6.142280298
84,Male,2000,5.738079247
85,Male,2000,5.355415728
86,Male,2000,4.996095591
87,Male,2000,4.66145931
88,Male,2000,4.352164998
89,Male,2000,4.068127643
90,Male,2000,3.808708452
91,Male,2000,3.573058635
92,Male,2000,3.353075173
93,Male,2000,3.14764076
94,Male,2000,2.956630582
95,Male,2000,2.780493793
0,Female,2000,80.84445544
1,Female,2000,79.8830393
2,Female,2000,78.91083309
3,Female,2000,77.93122521
4,Female,2000,76.94671455
5,Female,2000,75.96124219
6,Female,2000,74.97482766
7,Female,2000,73.98823554
8,Female,2000,73.00367131
9,Female,2000,72.01890028
10,Female,2000,71.0339224
11,Female,2000,70.04944328
12,Female,2000,69.06544333
13,Female,2000,68.083961
14,Female,2000,67.10424227
15,Female,2000,66.12622893
16,Female,2000,65.14920615
17,Female,2000,64.17442918
18,Female,2000,63.2005464
19,Female,2000,62.22751924
20,Female,2000,61.25592696
21,Female,2000,60.28449568
22,Female,2000,59.31320601
23,Female,2000,58.34262733
24,Female,2000,57.37156311
25,Female,2000,56.40115171
26,Female,2000,55.43135464
27,Female,2000,54.46213344
28,Female,2000,53.49453015
29,Female,2000,52.52793775
30,Female,2000,51.56229887
31,Female,2000,50.59704486
32,Female,2000,49.63364242
33,Female,2000,48.67150448
34,Female,2000,47.71103753
35,Female,2000,46.75261984
36,Female,2000,45.79752844
37,Female,2000,44.844233
38,Female,2000,43.89350979
39,Female,2000,42.94433967
40,Female,2000,41.9966105
41,Female,2000,41.05062632
42,Female,2000,40.10666351
43,Female,2000,39.16536826
44,Female,2000,38.2269441
45,Female,2000,37.29194625
46,Female,2000,36.36087608
47,Female,2000,35.43454189
48,Female,2000,34.51402373
49,Female,2000,33.59927191
50,Female,2000,32.6915444
51,Female,2000,31.79100068
52,Female,2000,30.8980681
53,Female,2000,30.01371508
54,Female,2000,29.1381955
55,Female,2000,28.27140711
56,Female,2000,27.41376733
57,Female,2000,26.56614975
58,Female,2000,25.72850419
59,Female,2000,24.90123257
60,Female,2000,24.0829002
61,Female,2000,23.27332453
62,Female,2000,22.47272781
63,Female,2000,21.68100747
64,Female,2000,20.89798302
65,Female,2000,20.1240223
66,Female,2000,19.35935567
67,Female,2000,18.60427244
68,Female,2000,17.85928288
69,Female,2000,17.12488997
70,Female,2000,16.40139682
71,Female,2000,15.68973602
72,Female,2000,14.99135266
73,Female,2000,14.30673614
74,Female,2000,13.63610744
75,Female,2000,12.97984345
76,Female,2000,12.33802433
77,Female,2000,11.71082068
78,Female,2000,11.09832057
79,Female,2000,10.50072717
80,Female,2000,9.917966742
81,Female,2000,9.34998718
82,Female,2000,8.807056736
83,Female,2000,8.290071146
84,Female,2000,7.794457081
85,Female,2000,7.320545153
86,Female,2000,6.869180653
87,Female,2000,6.430480248
88,Female,2000,6.022673803
89,Female,2000,5.643608293
90,Female,2000,5.292482143
91,Female,2000,4.957910603
92,Female,2000,4.605549566
93,Female,2000,4.256638203
94,Female,2000,3.928118019
95,Female,2000,3.631805879
0,Male,1980,70.4824
1,Male,1980,69.6668
2,Male,1980,68.7381
3,Male,1980,67.8054
4,Male,1980,66.8704
5,Male,1980,65.9319
6,Male,1980,64.9895
7,Male,1980,64.0431
8,Male,1980,63.0927
9,Male,1980,62.1397
10,Male,1980,61.185
11,Male,1980,60.2306
12,Male,1980,59.279
13,Male,1980,58.3331
14,Male,1980,57.3951
15,Male,1980,56.4657
16,Male,1980,55.5453
17,Male,1980,54.6329
18,Male,1980,53.7265
19,Male,1980,52.8235
20,Male,1980,51.9221
21,Male,1980,51.0202
22,Male,1980,50.1164
23,Male,1980,49.2096
24,Male,1980,48.2994
25,Male,1980,47.3853
26,Male,1980,46.4675
27,Male,1980,45.5467
28,Male,1980,44.6237
29,Male,1980,43.699
30,Male,1980,42.7735
31,Male,1980,41.8478
32,Male,1980,40.9225
33,Male,1980,39.9983
34,Male,1980,39.0756
35,Male,1980,38.1551
36,Male,1980,37.2372
37,Male,1980,36.3226
38,Male,1980,35.412
39,Male,1980,34.506
40,Male,1980,33.6051
41,Male,1980,32.7098
42,Male,1980,31.8205
43,Male,1980,30.9373
44,Male,1980,30.0604
45,Male,1980,29.1902
46,Male,1980,28.3267
47,Male,1980,27.4699
48,Male,1980,26.6198
49,Male,1980,25.7768
50,Male,1980,24.9411
51,Male,1980,24.1135
52,Male,1980,23.2951
53,Male,1980,22.4866
54,Male,1980,21.6893
55,Male,1980,20.9036
56,Male,1980,20.1297
57,Male,1980,19.3676
58,Male,1980,18.6168
59,Male,1980,17.8773
60,Male,1980,17.1495
61,Male,1980,16.434
62,Male,1980,15.732
63,Male,1980,15.0447
64,Male,1980,14.3733
65,Male,1980,13.7183
66,Male,1980,13.0798
67,Male,1980,12.4572
68,Male,1980,11.8498
69,Male,1980,11.2573
70,Male,1980,10.68
71,Male,1980,10.1192
72,Male,1980,9.577
73,Male,1980,9.0556
74,Male,1980,8.5568
75,Male,1980,8.0811
76,Male,1980,7.6277
77,Male,1980,7.1949
78,Male,1980,6.78
79,Male,1980,6.3808
80,Male,1980,5.9964
81,Male,1980,5.6271
82,Male,1980,5.2744
83,Male,1980,4.9403
84,Male,1980,4.6265
85,Male,1980,4.3326
86,Male,1980,4.0571
87,Male,1980,3.7971
88,Male,1980,3.5491
89,Male,1980,3.3092
90,Male,1980,3.0726
91,Male,1980,2.8343
92,Male,1980,2.5881
93,Male,1980,2.3272
94,Male,1980,2.0454
95,Male,1980,1.7396
0,Female,1980,75.4363
1,Female,1980,74.5776
2,Female,1980,73.6398
3,Female,1980,72.6984
4,Female,1980,71.7548
5,Female,1980,70.8093
6,Female,1980,69.8617
7,Female,1980,68.9121
8,Female,1980,67.9607
9,Female,1980,67.0076
10,Female,1980,66.0532
11,Female,1980,65.0981
12,Female,1980,64.1437
13,Female,1980,63.1905
14,Female,1980,62.2391
15,Female,1980,61.2901
16,Female,1980,60.3433
17,Female,1980,59.3987
18,Female,1980,58.4556
19,Female,1980,57.5136
20,Female,1980,56.5727
21,Female,1980,55.6322
22,Female,1980,54.6918
23,Female,1980,53.7515
24,Female,1980,52.8114
25,Female,1980,51.8717
26,Female,1980,50.9321
27,Female,1980,49.9929
28,Female,1980,49.0544
29,Female,1980,48.1166
30,Female,1980,47.1798
31,Female,1980,46.2441
32,Female,1980,45.3093
33,Female,1980,44.3755
34,Female,1980,43.4432
35,Female,1980,42.5127
36,Female,1980,41.5844
37,Female,1980,40.6595
38,Female,1980,39.7386
39,Female,1980,38.8223
40,Female,1980,37.9115
41,Female,1980,37.0063
42,Female,1980,36.1072
43,Female,1980,35.2136
44,Female,1980,34.3252
45,Female,1980,33.442
46,Female,1980,32.5636
47,Female,1980,31.69
48,Female,1980,30.8212
49,Female,1980,29.9576
50,Female,1980,29.0996
51,Female,1980,28.2472
52,Female,1980,27.4007
53,Female,1980,26.5611
54,Female,1980,25.7284
55,Female,1980,24.9024
56,Female,1980,24.0825
57,Female,1980,23.2679
58,Female,1980,22.4573
59,Female,1980,21.6501
60,Female,1980,20.8466
61,Female,1980,20.0479
62,Female,1980,19.2562
63,Female,1980,18.4741
64,Female,1980,17.7041
65,Female,1980,16.9469
66,Female,1980,16.2022
67,Female,1980,15.4691
68,Female,1980,14.7454
69,Female,1980,14.0301
70,Female,1980,13.3235
71,Female,1980,12.6276
72,Female,1980,11.9453
73,Female,1980,11.2807
74,Female,1980,10.637
75,Female,1980,10.0161
76,Female,1980,9.4183
77,Female,1980,8.843
78,Female,1980,8.2884
79,Female,1980,7.7532
80,Female,1980,7.2373
81,Female,1980,6.7418
82,Female,1980,6.2686
83,Female,1980,5.82
84,Female,1980,5.3973
85,Female,1980,5.0002
86,Female,1980,4.6273
87,Female,1980,4.2759
88,Female,1980,3.9432
89,Female,1980,3.6255
90,Female,1980,3.3187
91,Female,1980,3.0184
92,Female,1980,2.7191
93,Female,1980,2.4149
94,Female,1980,2.0996
95,Female,1980,1.7697
0,Male,1960,68.03932961
1,Male,1960,67.33982612
2,Male,1960,66.4496235
3,Male,1960,65.54804169
4,Male,1960,64.64119359
5,Male,1960,63.72950274
6,Male,1960,62.81339298
7,Male,1960,61.8932626
8,Male,1960,60.96979249
9,Male,1960,60.04364969
10,Male,1960,59.11578479
11,Male,1960,58.1873834
12,Male,1960,57.25929372
13,Male,1960,56.33260778
14,Male,1960,55.40836361
15,Male,1960,54.48671969
16,Male,1960,53.56782142
17,Male,1960,52.65180127
18,Male,1960,51.73825035
19,Male,1960,50.82627491
20,Male,1960,49.91525279
21,Male,1960,49.00485658
22,Male,1960,48.09450859
23,Male,1960,47.18391115
24,Male,1960,46.27277943
25,Male,1960,45.36082764
26,Male,1960,44.44825199
27,Male,1960,43.53522155
28,Male,1960,42.62189224
29,Male,1960,41.70862675
30,Male,1960,40.79554975
31,Male,1960,39.88277655
32,Male,1960,38.97039688
33,Male,1960,38.05850306
34,Male,1960,37.14735081
35,Male,1960,36.23753779
